Input test: topspin_12_4/topspin_12_4.d=015
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        5 4 0 9 1 8 6 10 2 3 7 11       0.040258        10750                   36
2        8 3 1 6 10 9 4 7 5 2 0 11       0.017176        5793                    36
3        5 1 8 6 3 2 0 4 7 10 9 11       0.016296        9038                    36
4        1 3 7 2 4 0 8 10 6 5 9 11       0.215820        112504                          52
5        5 1 6 0 7 3 8 10 4 2 9 11       0.285790        168092                          53
6        0 6 5 1 2 9 4 8 3 7 10 11       0.013707        7735                    36
7        9 10 8 3 4 1 2 5 0 6 7 11       0.099517        45752                   45
8        6 2 4 0 8 3 10 9 7 5 1 11       0.311624        178674                          52
9        4 10 9 2 6 8 0 1 5 3 7 11       0.099409        55858                   45
10       10 7 0 2 1 6 4 5 8 9 3 11       0.020547        12044                   36
