Input test: topspin_12_4/topspin_12_4.d=2000000
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        7 5 2 9 4 8 0 10 6 1 3 11       0.000078        28                      9
2        6 2 7 4 1 10 0 9 8 3 5 11       0.000145        54                      10
3        6 7 0 3 10 4 8 9 5 1 2 11       0.000045        15                      9
4        8 10 6 3 1 2 4 7 0 5 9 11       0.000722        280                     11
5        9 7 2 1 10 6 8 0 4 5 3 11       0.000055        24                      9
6        3 10 4 2 7 5 6 9 0 1 8 11       0.000026        12                      9
7        10 0 5 4 1 9 8 7 3 6 2 11       0.000010        7                       7
8        2 3 7 10 6 0 5 9 1 8 4 11       0.000027        12                      8
9        1 5 6 4 10 0 9 8 7 2 3 11       0.000054        25                      9
10       9 7 0 10 4 6 5 8 2 3 1 11       0.000090        40                      10
